"SupplierID","supplier_name","supplier_address","supplier_phone","supplier_city","supplier_state","supplier_zip"
49,Lang-Hand,"436 Sloan Junction",305,"217-305-4437",IL,"62776"
50,"Graham, Willms and Hand","61515 Nancy Pass",407,"419-808-2408",OH,"43605"
51,Wyman Group,"9438 Green Junction",786,"570-835-5837",PA,"18768"
52,Little Group,"975 Red Cloud Circle",323,"404-812-1069",GA,"31165"
53,"Rohan, Labadie and Quigley","63967 Weeping Birch Parkway",202,"216-652-3322",OH,"44118"
54,Yundt and Sons,"883 Rockefeller Alley",775,"816-834-0926",MO,"64504"
55,"Paucek, Waelchi and Mayer","905 Beilfuss Hill",281,"216-286-0908",OH,"44105"
56,"Hilpert, Bergstrom and Gorczany","928 Di Loreto Alley",602,"719-298-6727",CO,"81010"
57,"Hills, Yundt and Hintz","81 Starling Center",214,"917-889-7005",NY,"10165"
58,Medhurst Group,"1 Dottie Pass",704,"305-285-8757",FL,"33018"
59,"Barrows, Tromp and Windler","5799 Monterey Crossing",713,"804-920-3255",VA,"23285"
60,"Sauer, Bernier and Heathcote","08984 Golden Leaf Court",202,"801-276-5673",UT,"84403"
61,"Rogahn, Murray and Powlowski","6 Vahlen Point",540,"402-458-7272",NE,"68117"
62,Ullrich-Lebsack,"1481 Hansons Trail",313,"605-355-9450",SD,"57193"
63,"Kemmer, Armstrong and Littel","1257 Dwight Park",818,"865-965-6487",TN,"37914"
64,Kozey and Sons,"2 Mcguire Plaza",267,"408-833-3882",CA,"95155"
65,"Rogahn, Dicki and Cummerata","9 Pierstorff Crossing",612,"972-701-2417",TX,"75216"
66,"Denesik, Ruecker and Terry","44 Toban Crossing",419,"425-127-0613",WA,"98042"
67,Beatty-Rogahn,"820 Brentwood Junction",937,"813-213-7828",FL,"33620"
68,"Greenholt, Schultz and Bashirian","5175 Becker Center",407,"719-569-0844",CO,"81010"
69,"Kovacek, Smitham and Gislason","374 Algoma Park",786,"318-323-1528",LA,"71307"
70,"Lemke, Hintz and Schulist","76 Goodland Park",804,"806-338-6501",TX,"79410"
71,Bradtke Inc,"5370 Dayton Crossing",724,"704-638-8659",NC,"28299"
72,"Williamson, Hayes and Prohaska","97098 Prairieview Center",515,"305-525-6151",FL,"33961"
73,"Pacocha, Nikolaus and Cruickshank","17 Valley Edge Crossing",717,"313-199-9635",MI,"48224"
74,Johnston LLC,"0 Montana Crossing",763,"806-692-1527",TX,"79415"
75,Bashirian-Predovic,"3 Waubesa Pass",210,"303-454-9932",CO,"80249"
